	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
1.67659	7199.41	8732.85	
1.6785	6590.39	7371.79	
1.6804	5751.98	6507.75	
1.6823	5021.1	5961.25	
1.68421	4221.41	5414.75	
1.68611	3541.42	4974.39	
1.68801	2861.43	4534.02	
1.68992	2340.57	4052.24	
1.69182	1888.53	3570.45	
1.69373	1569.82	3307.84	
1.69563	1182.29	3045.23	
1.69753	1133.1	2879.26	
1.69944	1015.09	2713.29	
1.70134	956.223	2555.52	
1.70325	966.169	2397.75	
1.70515	1110.88	2198.56	
1.70705	1117.95	1999.37	
1.70896	1287.03	1779.47	
1.71086	1226.73	1559.57	
1.71277	1249.58	1463.92	
1.71467	1134.8	1368.28	
1.71657	1094.57	1232.21	
1.71848	1054.34	1096.15	
1.72038	1074.32	1018.76	
1.72229	1094.3	1107.04	
1.72419	1079.87	1057.26	
1.72609	1065.45	1007.49	
1.728	936.331	1009.48	
1.7299	807.215	1011.48	
1.7318	718.24	1002.69	
1.73371	629.266	993.895	
1.73561	654.981	943.686	
1.73752	680.697	893.477	
1.73942	730.785	919.202	
1.74132	780.872	944.926	
1.74323	716.27	929.233	
1.74513	651.666	913.539	
1.74704	612.869	872.283	
1.74894	574.071	831.026	
1.75084	535.273	720.74	
1.75275	496.476	610.453	
1.75465	500.687	633.912	
1.75656	504.898	657.372	
1.75846	509.109	601.446	
1.76036	513.321	545.521	
1.76227	518.607	579.335	
1.76417	523.894	447.476	
1.76607	464.667	408.809	
1.76798	405.44	370.141	
1.76988	323.275	333.199	
1.77179	309.925	296.257	
1.77369	369.689	259.315	
1.77559	291.825	222.373	
1.7775	225.99	136.799	
1.7794	160.155	51.226	
1.78131	243.418	62.2951	
1.78321	189.052	73.3642	
1.78511	242.925	146.561	
1.78702	296.798	219.757	
1.78892	261.786	103.12	
1.79083	226.774	152.156	
1.79273	201.439	167.971	
1.79463	176.104	183.786	
1.79654	228.186	209.955	
1.79844	142.638	236.125	
1.80034	148.843	232.094	
1.80225	155.048	228.062	
1.80415	152.651	224.031	
1.80606	150.254	220	
1.80796	125.277	207.987	
1.80986	100.301	195.974	
1.81177	187.147	183.961	
1.81367	136.366	171.948	
1.81558	147.23	156.484	
1.81748	158.095	141.019	
1.81938	103.012	166.973	
1.82129	47.9287	192.927	
1.82319	33.7051	243.904	
1.8251	19.4805	294.882	
1.827	5.25586	282.006	
1.8289	-8.96777	269.13	
1.83081	75.0107	213.973	
1.83271	158.99	241.653	
1.83462	185.625	315.928	
1.83652	212.259	224.53	
1.83842	172.498	228.709	
1.84033	132.737	232.889	
1.84223	196.197	143.878	
1.84413	259.658	137.703	
1.84604	217.03	80.6178	
1.84794	174.402	106.369	
1.84985	174.783	147.653	
1.85175	175.164	106.1	
1.85365	54.4023	26.7957	
1.85556	71.2705	113.165	
1.85746	68.0674	101.165	
1.85937	64.8633	89.1657	
1.86127	59.5098	108.23	
1.86317	54.1563	127.294	
1.86508	48.8027	104.94	
1.86698	43.4492	82.5862	
1.86889	14.082	112.005	
1.87079	-15.2852	141.424	
1.87269	-10.2451	129.424	
1.8746	-5.20508	117.425	
1.8765	-5.89941	100.248	
1.8784	-6.59375	83.0716	
1.88031	70.1279	24.4767	
1.88221	9.2207	-34.1182	
1.88412	-23.0137	-14.8383	
1.88602	-55.248	4.44171	
1.88792	-15.8008	-50.486	
1.88983	23.6465	-105.414	
1.89173	46.6074	-36.0867	
1.89364	69.5674	-49.5961	
1.89554	-73.7725	-104.524	
1.89744	-79.4854	6.22137	
1.89935	-57.2861	-33.1071	
1.90125	-172.716	10.4009	
1.90316	-144.782	12.4907	
1.90506	-116.849	14.5805	
1.90696	-60.96	58.9514	
1.90887	-5.07031	20.4858	
1.91077	-29.4648	-49.0433	
1.91267	-53.8584	-35.7361	
1.91458	-46.7129	-110.335	
1.91648	-39.5674	-19.2605	
1.91839	-32.4219	-5.84546	
1.92029	-25.2754	7.56964	
1.92219	45.666	-67.029	
1.9241	116.608	24.0452	
1.926	161.746	-24.667	
1.92791	69.2539	9.45721	
1.92981	40.5596	65.9084	
1.93171	11.8643	122.36	
1.93362	8.97461	142.57	
1.93552	6.08496	162.78	
1.93743	-26.9111	117.411	
1.93933	-59.9072	72.0429	
1.94123	-58.4961	26.6743	
1.94314	-57.084	-18.6943	
1.94504	-35.2441	0.329529	
1.94695	-13.4033	19.3533	
1.94885	-25.9707	2.13617	
1.95075	-38.5371	-15.0809	
1.95266	-38.2012	-24.5322	
