	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_1	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_2	
5.62528	98.8184	-4.39163	
5.62718	102.887	-66.3651	
5.62908	106.955	-38.0243	
5.63099	36.2695	-41.6698	
5.63289	-34.416	-45.3152	
5.6348	40.8301	-43.3161	
5.6367	-21.2715	-41.317	
5.6386	-18.2754	-12.9762	
5.64051	-15.2813	15.3646	
5.64241	-20.8691	-7.09634	
5.64431	-26.457	60.7569	
5.64622	-26.502	30.7698	
